TC	svc_c1	svc_c2	svc_c3	svc_c4	svc_c5	svc_c6	svc_c7	svc_c8	svc_c9	svc_c10	svc_c11	svc_c12	svc_c13	svc_c14	svc_c15	svc_c16	svc_c17	svc_c18	svc_c19	svc_c20	svc_c21	svc_c22	svc_c23	svc_c24	svc_c25	svc_c26	svc_c27	svc_c28	svc_c29	svc_c30	svc_c31	svc_c32	svc_c33	svc_c34	svc_c35	svc_c36	svc_c37	svc_c38	svc_c39	svc_c40	svc_c41	svc_c42	svc_c43	svc_c44	svc_c45	svc_c46	svc_c47	svc_c48	svc_c49	svc_c50	svc_c51	svc_c52	svc_c53	svc_c54	svc_c55	svc_c56	svc_c57	svc_c58	svc_c59	svc_c60	svc_c61	svc_c62	svc_c63	svc_c64	svc_c65	svc_c66	svc_c67	svc_c68	svc_c69	svc_c70	svc_c71	svc_c72	soils_c1	soils_c2	soils_c3	soils_c4	soils_c5	soils_c6	soils_c7	soils_c8	soils_c9	soils_c10	soils_c11	slope_width
74	0	0	0	0	0	0.00014	0.00174	0.01494	0.12109	0.2095	0.06601	0.00197	0	0.00014	0.00016	9e-05	0.0184	0.02249	0.02545	0.00194	0	0	0	0	8e-04	0.00963	0.00814	0.03186	0.00231	0	0	0	0	0	0	0	0	0.00022	0	0.00762	0.01816	0.01244	0.07481	0.16491	0.06864	0.01281	0	0	0	0	0.00196	4e-05	0.00203	0.0041	0.01911	0.02579	0.00304	0	0	0	0	0	0.00128	0.00571	0.00879	0.00987	0.01619	0.00561	0	0	0	0	0	0.41543	0.06866	0.05275	0	0	0.35961	0	0.05607	0.04745	0	0.03941
75	0	0	0	0	0	0	0.00045	0.01147	0.10806	0.17863	0.08003	0.00145	0	0.00073	0	0	0.03293	0.00869	0.09049	0.02181	0	0	0	0	0	0.00832	0.00158	0.04444	0.00324	0	0	0	0	0	0	0	0	0.00057	0	0	0.00644	0.00197	0.09392	0.0921	0.08669	0.0079	0	0	0	0	0.01463	0	0	0.00979	0.00331	0.05792	0.01041	0	0	0	0	0	0	0	0.00436	0.00233	0.00856	0.00674	0	0	0	0	0	0.38012	0.15463	0.05761	0	0	0.28959	0	0.09605	0.02201	0	0.03105
76	0	0	0	0	0.00277	0	0.01636	0	0	0.00041	0.01165	0	0	0	0	0.00376	0	0	0	0	0	0	0.00241	0	0	0	0	0.00453	0	0	0	0	0	0	0	0.0018	0.02534	0.34604	0.00015	0.00381	0.03817	0	6e-05	0.01356	0.11589	0	0	0	0	0	0.01844	0	0.00455	0	0	0	0.00294	0	0.01301	0.024	0.2793	0.01678	0	0	0	0	0.02625	0.02814	0	0	0	0	0	0.03119	0.00376	0.00694	0	0	0.54475	0	0.02592	0.38752	0	0.05349
77	0	0	0	0	0.00361	0	0.01834	0	0.00015	0.00238	0.02339	0	0	0	0	0.00113	0	0.00337	0	0	0	0	0.00141	0	0	0	0	0.01237	0.0028	0	0	0	0	0	0	9e-05	0.01418	0.30269	0.00011	0.00444	0.03001	0	0.00141	0.0236	0.10352	0	0	0	0	0	0.00847	0	0.00528	0	0.00216	0	0.00475	0	0.00779	0.03752	0.31213	0.0106	0	0	0	0.00049	0.02819	0.03374	0	0	0	0	0	0.04785	0.0045	0.01657	0	0	0.48003	0	0.02067	0.43047	0	0.05222
78	0	0	0	0	0.00117	0	0.00314	0	0.00031	0.01492	0.00932	0	0	0	0	0	0	0.01317	0.00261	3e-04	0	0	0.00935	0	0.00106	0	0.01458	0.02317	0.01155	0	0	0	0	0	0	3e-05	0.00179	0.19521	0	0	0.00545	0	0.00085	0.04291	0.07844	0	0	0	0	0	0.02594	0	0.00047	0	0.01401	0.01082	0.00318	0	0.00367	0.02454	0.38539	0.00304	0	0.00168	0	0.01267	0.02538	0.05993	0	0	0	0	0	0.02886	0.01609	0.05971	0	0	0.32468	0	0.05443	0.51629	0	0.03606
79	0	0	0	0	0	0.20184	0	0.11748	0	0.18413	0.03552	0.0068	0	0	0.00181	0	0	0	0.02503	0.03416	0	0	0	0.00093	0	0.00187	0	0.04233	0.0026	0	0.00255	0	0	0	0	0	0	0	0	0.08552	0	0.03183	0	0.11803	0.02113	6e-05	0	0	0	0	0	0.00165	0	0	0	0.01269	0.03664	0	0	0	0	0	0.00416	0	0	0	0.01761	0.01238	0	0.00126	0	0	0	0.5458	0.06098	0.04773	0.00255	0	0.25661	0	0.05097	0.03415	0.00126	0.03045
80	0	0	0	0	0	0.21729	0	0.13147	0	0.17328	0.07169	0.00563	0	0	0.00568	0	0	0	0.04958	0.08141	0	0	0	2e-04	0	0.00395	0	0.05141	0.0045	0	0.01016	0	0.00189	0	0	0	0	0	0	0.05038	0	0.02933	0	0.05306	0.01513	0.00134	0	0	0	0	0	0.00465	0	0	0	0.00628	0.01484	0	0	0	0	0	8e-05	0	0	0	0.00798	0.00415	0	0.00407	0	0.00051	0	0.5994	0.13666	0.06006	0.01205	0	0.14923	0	0.02576	0.01221	0.00458	0.03129
81	0	0	0	0	0	0.23565	0	0.0935	0	0.16915	0.07116	0.01457	0	0	0.00574	0	0	0	0.05286	0.11648	0	0	0	0	0	0	0	0.02174	0.007	0	0.01511	0	0.00332	0	0	0	0	0	0	0.07768	0	0.01818	0	0.04179	0.01778	0.00268	0	0	0	0	0	0.00103	0	0	0	0.00693	0.00608	0	0	0	0	0	0	0	0	0	0.0138	0.00212	0	0.00357	0	0.00217	0	0.58399	0.17509	0.02874	0.01843	0	0.15808	0	0.01402	0.01591	0.00573	0.02529
82	0	0	0	0	0	0.04483	0	0.11357	0.03396	0.04378	0.07721	0.00274	0	0	0.00324	0	0.0084	0	0.00103	0	0	0	0	0.00949	0	0.0095	0	0.00102	0.00088	0	0	0	0	0	0	2e-04	0	0	0	0.13186	0.03287	0.10643	0.0865	0.06162	0.13186	0.01057	0	0	0	0	0	0.0054	0	0.02338	0	0	0.00707	0	0	0	0	0	0.02176	0	0.00961	0	0.00924	0.01199	0	0	0	0	0	0.31612	0.01266	0.02089	0	0	0.56188	0	0.03584	0.0526	0	0.04107
83	0	0	0	0	0	0.02706	0	0.19528	0.10006	0.12588	0.05257	0.00955	0	0	0.00762	0	0.04815	0	0.0143	0	0	0	0	0.00032	0	0	0	0.00042	0.00063	0	0	0	0	0	0	0	0	0	0	0.05939	0	0.03609	0.05355	0.05393	0.12693	0.00351	0	0	0	0	0	0	0	0.05287	0	0.00422	0	0	0	0	0	0	0.00485	0	0	0	0.01376	0.00915	0	0	0	0	0	0.51039	0.07007	0.00137	0	0	0.3334	0	0.05709	0.02771	0	0.03825
84	0	0	0	0	0	0.01617	0	0.10057	0.08875	0.18002	0.07497	0.00465	0	0	0.00025	0	0.0799	0	0.02057	0.00898	0	0	0	0	0	0	0	0	0.02778	0	0	0	0	0	0	0	0	0	0	0.02064	0	0.05261	0.0697	0.10736	0.04383	0.00356	0	0	0	0	0	0	0	0.07977	0	0.00787	0.00111	0	0	0	0	0	0	0	0	0	0.00053	0.0105	0	0	0	0	0	0.46517	0.1097	0.02778	0	0	0.29767	0	0.08874	0.01103	0	0.03299
85	0	0	0	0	0	0.09881	0	0.10257	0	0.13232	0.02912	0	0	0	0.00672	0	3e-04	0	0.00495	0.01191	0	0	0	0.02979	0	0.00135	0	0.0061	0	0	0.00139	0	0	0	0	0	0	0	0	0.19961	0	0.07337	0	0.13291	0.03766	0	0	0	0	0	0	0.00955	0	0	0	0.00339	0.01417	0	0	0	0	0	0.05972	0	0.0013	0	0.02146	0	0	0.02155	0	0	0	0.36284	0.02386	0.03724	0.00139	0	0.44346	0	0.02712	0.08248	0.02155	0.03139
86	0	0	0	0	0	0.12102	0	0.08398	0	0.17007	0.03409	0	0	0	0.01352	0	0.00079	0	0.0077	0.0201	0	0	0	0.02651	0	0.00309	0	0.02974	0	0	0.01206	0	0	0	0	0	0	0	0	0.09853	0	0.07366	0	0.15676	0.04478	0	0	0	0	0	0	0.01044	0	0.00022	0	0.00778	0.01564	0	0	0	0	0	0.035	0	0.00337	0	0.02224	0	0	0.00888	0	0	0	0.40918	0.04211	0.05935	0.01206	0	0.3737	0	0.03407	0.06061	0.00888	0.03624
87	0.00018	0	0	0	0	0.09958	0	0.10914	0	0.18921	0.0301	0.00014	0	0	0.01264	0	0.00058	0	0.007	0.03039	0	0	0	0.03814	0	0.0039	0	0.03432	0	0	0.02384	0	0.00191	0.00025	0	0	0	0	0	0.06469	0	0.06292	0	0.14712	0.03669	0.00062	0	0	0	0	0	0.01213	0	0.00015	0	0.00527	0.01728	0	0	0	0	0	0.0293	0	0.00072	0	0.03073	0.00031	0	0.00859	0	0.00226	0.00018	0.42813	0.05062	0.07636	0.02575	0.00025	0.31202	0	0.03483	0.06106	0.01084	0.03542
88	0	0	0	0	0	0.21102	0	0.05419	0.00022	0.04961	0.05965	0	0	0	0.00744	0	0.0445	0	0	0.02674	0	0	0	0.00825	0	0.00801	0	0.0175	0	0	0.01083	0	0.00086	0	0	0	0	0	0	0.2677	0	0.05524	0	0.06621	0.01765	0	0	0	0	0	0	0.00891	0	0.01258	0	0	0.01583	0	0	0	0	0	0.04136	0	0.00057	0	0.00983	0	0	0.00537	0	0	0	0.37472	0.07863	0.03377	0.01169	0	0.40677	0	0.03734	0.05176	0.00537	0.03668
89	0	0	0	0	0	0.28218	0	0.04206	0.00532	0.06492	0.0864	0	0	0	0.0122	0	0.03561	0	0	0.01419	0	0	0	0.00963	0	0.00329	0	0.00642	0.00019	0	0.01172	0	0.00809	0	0	0	0	0	0	0.1937	0	0.05045	0.01499	0.05741	0.04315	0	0	0	0	0	0	0.00933	0	0.00809	0	0	0.00791	0	0	0	0	0	0.01609	0	0.00052	0	0.00729	4e-05	0	0.00751	0	0.00123	0	0.48094	0.062	0.01953	0.0198	0	0.35969	0	0.02531	0.02393	0.00873	0.03986
90	0	0	0	0	0	0.30343	0	0.03182	0.01376	0.08457	0.06984	0.00917	0	0	0.00439	0	0.03453	0	0	0.01335	0	0	0	0.00292	0	7e-05	0	0.00072	0.00016	0	0.02478	0	0.0156	0	0	0	0	0	0	0.18086	0	0.01472	0.02276	0.06075	0.06036	3e-04	0	0	0	0	0	0.00161	0	0.02277	0	0	0.01117	0	0	0	0	0	0.00521	0	4e-05	0	0.00092	9e-05	0	0.00519	0	0.00417	0	0.51259	0.05227	0.00388	0.04039	0	0.33971	0	0.03554	0.00626	0.00936	0.03858
